ID,FirstName,LastName,Username,Password,Address,Photo,ConstituencyID,IsApproved
20,Meera,Chauhan,Meera,UmV5bmEyNCM=,"101, Riverdale Residences, Gomti Nagar, Lucknow 226010",,3,1
21,Yuvraj,Mishra,Yuvraj,UmV5bmEyNCM=,"23, Emerald Towers, Rajpur Road, Dehradun 248001",,3,1
22,Swara,Bhat,Swara,UmV5bmEyNCM=,"E-23, Royal Heights, Madhapur, Hyderabad 500081",,3,1
23,Krish,Shah,Krish,UmV5bmEyNCM=,"67, Jasmine Colony, Sector 15, Noida 201301",,3,1
24,Avani,Sharma,Avani,UmV5bmEyNCM=,"5/102, Golden Orchid, Magarpatta City, Pune 411028",,4,1
25,Kabir,Verma,Kabir,UmV5bmEyNCM=,"14, Rainbow Society, Patna 800001",,1,1
26,Riya,Joshi,Riya,UmV5bmEyNCM=,"C-701, Lotus Paradise, Zirakpur, Chandigarh 160017",,4,1
27,Varun,Kapoor,Varun,UmV5bmEyNCM=,"31, Silver Springs, Indiranagar, Bangalore 560038",,4,1
28,Sanya,Singh,Sanya,UmV5bmEyNCM=,"19, Palm Grove Avenue, Worli, Mumbai 400018",,4,1
29,Aarush,Naidu,Aarush,UmV5bmEyNCM=,"8/45, Pearl Residency, Whitefield, Bangalore 560078",,5,1
30,Diya,Choudhary,Diya,UmV5bmEyNCM=,"64, Bluebell Street, Vadapalani, Chennai 600026",,5,1
31,Arnav,Desai,Arnav,UmV5bmEyNCM=,"21, Starlight Apartments, Gwalior 474001",,5,0
32,Anika,Malhotra,Anika,UmV5bmEyNCM=,"B-14, Tulip Towers, Wakad, Pune 411057",,5,0
33,Advait,Banerjee,Advait,UmV5bmEyNCM=,"33, Krishna Enclave, Dilsukhnagar, Hyderabad 500036",,5,0
34,Saanvi,Kumar,Saanvi,UmV5bmEyNCM=,"10, Royal Residency, Rajkot 360001",,5,0
35,Aariz,Patel,Aariz,UmV5bmEyNCM=,"F-301, Diamond Heights, Salt Lake City, Kolkata 700091",,5,0
36,Sara,Khan,Sara,UmV5bmEyNCM=,"75, Windsor Gardens, Sector 50, Noida 201307",,1,1
37,Advay,Sinha,Advay,UmV5bmEyNCM=,"42, Sunflower Colony, Varanasi 221001",,1,1
38,Vanya,Mehta,Vanya,UmV5bmEyNCM=,"H-18, Paradise City, NIBM Road, Pune 411048",,5,1
39,Arisha,Reddy,Arisha,UmV5bmEyNCM=,"6/28, Blue Ridge Society, Hinjewadi, Pune 411057",,5,1
40,Advik,Chauhan,Advik,UmV5bmEyNCM=,"55, Green Valley, Kanpur 208001",,5,1
41,Myra,Bhat,Myra,UmV5bmEyNCM=,"D-12, Emerald Towers, Anna Nagar, Chennai 600040",,5,1
42,Aryan,Kapoor,Aryan,UmV5bmEyNCM=,"16, Silver Bells Residency, Banjara Hills, Hyderabad 500034",,6,1
43,Siya,Joshi,Siya,UmV5bmEyNCM=,"7, Jasmine Gardens, Sector 12, Faridabad 121007",,6,1
44,Dev,Sharma,Dev,UmV5bmEyNCM=,"28, Riverfront Residences, Ahmedabad 380015",,6,1
45,Kaira,Verma,Kaira,UmV5bmEyNCM=,"E-56, Tulip Enclave, South Extension, Delhi 110049",,1,1
46,Vihaan,Naidu,Vihaan,UmV5bmEyNCM=,"39, Golden Meadows, Sushant Lok, Gurgaon 122002",,6,1
47,Ishaan,Choudhary,Ishaan,UmV5bmEyNCM=,"17, Rosewood Apartments, Ballygunge, Kolkata 700019",,6,1
48,Anvi,Banerjee,Anvi,UmV5bmEyNCM=,"A-9, Orchid Heights, Navi Mumbai 410206",,6,1
49,Reha,Mishra,Reha,UmV5bmEyNCM=,"63, Silver Oaks, Jubilee Hills, Hyderabad 500033",,1,1
50,Aaryan,Sinha,Aaryan,UmV5bmEyNCM=,"14, Crystal Palace, Sardarpura, Jodhpur 342001",,6,0
51,Ava,Malhotra,Ava,UmV5bmEyNCM=,"8A, Maple Street, Sector 14, Panchkula 134112",,6,0
52,Aanya,Patel,Aanya,UmV5bmEyNCM=,"2, Blue Lagoon Residency, Vytilla, Kochi 682019",,1,0
56,Raman,Parthiban,Raman,UmV5bmEyNCM=,www,,1,0
